date,value
1996-03-01,57.4778
1996-03-04,65.0826
1996-03-05,70.2707
1996-03-06,67.9568
1996-03-07,69.3594
1996-03-08,42.5609
1996-03-11,50.3084
1996-03-12,37.066
1996-03-13,40.2406
1996-03-14,44.6924
1996-03-15,46.283
1996-03-18,62.1035
1996-03-19,60.4414
1996-03-20,57.6366
1996-03-21,56.364
1996-03-22,58.0349
1996-03-25,56.9484
1996-03-26,60.6998
1996-03-27,55.3082
1996-03-28,54.3691
1996-03-29,49.0857
1996-04-01,57.7843
1996-04-02,61.662
1996-04-03,61.8355
1996-04-04,61.5035
1996-04-08,44.1257
1996-04-09,41.7945
1996-04-10,30.5273
1996-04-11,28.5841
1996-04-12,33.1842
1996-04-15,43.4138
1996-04-16,46.6128
1996-04-17,42.5015
1996-04-18,44.3417
1996-04-19,46.9666
1996-04-22,49.5334
1996-04-23,56.3446
1996-04-24,55.6663
1996-04-25,60.0115
1996-04-26,60.9498
1996-04-29,61.0196
1996-04-30,61.2716
1996-05-01,60.9822
1996-05-02,45.5754
1996-05-03,40.4141
1996-05-06,39.4331
1996-05-07,36.1104
1996-05-08,44.5711
1996-05-09,45.6182
1996-05-10,54.2104
1996-05-13,69.1268
1996-05-14,71.6148
1996-05-15,73.4491
1996-05-16,69.765
1996-05-17,74.1043
1996-05-20,77.0725
1996-05-21,75.7061
1996-05-22,80.9841
1996-05-23,75.3135
1996-05-24,77.8045
1996-05-28,66.918
1996-05-29,60.5122
1996-05-30,64.982
1996-05-31,60.4911
1996-06-03,55.1245
1996-06-04,60.7684
1996-06-05,68.3078
1996-06-06,59.3192
1996-06-07,59.8233
1996-06-10,55.5513
1996-06-11,55.2039
1996-06-12,50.4386
1996-06-13,46.9337
1996-06-14,44.1404
1996-06-17,43.5502
1996-06-18,42.1142
1996-06-19,41.673
1996-06-20,41.6027
1996-06-21,46.1958
1996-06-24,48.8231
1996-06-25,48.7906
1996-06-26,42.4195
1996-06-27,47.7853
1996-06-28,51.2109
1996-07-01,56.4712
1996-07-02,54.3783
1996-07-03,54.0569
1996-07-05,32.048
1996-07-08,26.4696
1996-07-09,30.5139
1996-07-10,32.1062
1996-07-11,19.6808
1996-07-12,22.0357
1996-07-15,8.4606
1996-07-16,6.632
1996-07-17,9.9864
1996-07-18,20.6725
1996-07-19,15.2351
1996-07-22,12.1049
1996-07-23,8.5889
1996-07-24,8.5736
1996-07-25,10.8459
1996-07-26,17.8783
1996-07-29,13.2014
1996-07-30,19.4828
1996-07-31,27.0045
1996-08-01,41.2712
1996-08-02,55.4369
1996-08-05,53.9175
1996-08-06,56.2687
1996-08-07,57.5494
1996-08-08,54.9289
1996-08-09,56.6341
1996-08-12,67.2469
1996-08-13,57.5976
1996-08-14,58.5752
1996-08-15,56.9998
1996-08-16,59.6317
1996-08-19,59.7041
1996-08-20,59.537
1996-08-21,58.7189
1996-08-22,66.1024
1996-08-23,62.9416
1996-08-26,57.6553
1996-08-27,60.7801
1996-08-28,60.4419
